City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Cameron Park,US,79.0,clear sky,38.67,-120.99,Quality Inn & Suites Cameron Park Shingle Springs
391,Marawi,PH,75.99,light rain,8.0,124.29,Derogongan Residence
393,Maputo,MZ,71.01,broken clouds,-25.97,32.59,Pestana Rovuma
396,Saurimo,AO,70.95,light rain,-9.66,20.39,Hotel Kawissa Saurimo
402,Hambantota,LK,79.36,scattered clouds,6.12,81.12,Bungalow 63
409,Pasighat,IN,70.11,scattered clouds,28.07,95.33,Siang Guest House
413,Trat,TH,75.61,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
416,Tandil,AR,75.99,scattered clouds,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
430,Ende,ID,77.61,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
440,Russell,US,72.0,scattered clouds,32.35,-85.2,Macs
445,Rio Grande,BR,71.6,few clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
454,Luena,AO,71.65,broken clouds,-11.78,19.92,Hotel Kandamba
460,Jawhar,SO,77.65,moderate rain,2.78,45.5,cosoble spare parts
465,Kinablangan,PH,78.55,overcast clouds,7.69,126.55,Mainit Balete Hot Spring
469,Yulara,AU,78.8,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
480,Tomigusuku,JP,71.6,few clouds,26.18,127.67,DoubleTree by Hilton Hotel Naha
481,Buraydah,SA,73.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
482,Nouadhibou,MR,78.8,sand,20.93,-17.03,El Medina
486,Makakilo City,US,73.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
491,Takoradi,GH,78.98,light rain,4.88,-1.76,Raybow International Hotel
493,Bossangoa,CF,72.0,moderate rain,6.49,17.46,LA PERLE DE BOSTON
503,Matara,LK,77.38,clear sky,5.95,80.54,Amaloh Boutique Resort
507,Goianesia,BR,79.41,moderate rain,-15.32,-49.12,Kamur Plaza Hotel
508,Pakxan,LA,70.99,clear sky,18.38,103.66,Kong Kham Pheng Guesthouse
