City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Coihaique,CL,-45.58,-72.07,77.0,23,0,4.7,clear sky
97,Ponta Do Sol,PT,32.67,-17.1,70.0,88,20,6.93,few clouds
98,Kawhia,NZ,-38.07,174.82,55.99,83,100,4.47,overcast clouds
99,Piacabucu,BR,-10.41,-36.43,81.99,71,61,16.02,broken clouds
100,Klaksvik,FO,62.23,-6.59,44.6,93,99,8.05,light rain
101,Yanji,CN,42.91,129.51,34.43,80,0,6.51,clear sky
102,Cap-Aux-Meules,CA,47.38,-61.86,44.6,56,22,18.34,few clouds
103,Faanui,PF,-16.48,-151.75,79.7,80,46,23.26,light rain
104,Santa Cruz,BO,-17.8,-63.17,91.4,19,0,13.87,clear sky
105,Khash,IR,28.22,61.22,45.5,39,0,4.52,clear sky
106,Fortuna,US,40.6,-124.16,60.8,63,1,3.2,clear sky
107,Bethel,US,41.37,-73.41,51.8,71,90,6.93,light rain
108,Kichera,RU,55.94,110.1,11.5,76,0,5.73,clear sky
109,Tiksi,RU,71.69,128.87,-6.72,90,0,6.87,clear sky
110,Little Current,CA,45.98,-81.92,37.99,80,100,25.28,overcast clouds
111,Saldanha,ZA,-33.01,17.94,78.8,24,0,6.93,clear sky
112,Muisne,EC,0.6,-80.03,86.0,74,40,11.41,scattered clouds
113,Plettenberg Bay,ZA,-34.05,23.37,63.88,85,0,11.18,clear sky
114,Busselton,AU,-33.65,115.33,53.01,95,90,6.78,overcast clouds
115,Bathsheba,BB,13.22,-59.52,86.0,74,40,21.92,shower rain
116,Alta Floresta,BR,-9.88,-56.09,86.0,70,75,3.36,broken clouds
117,Tezu,IN,27.92,96.17,71.13,74,65,1.92,broken clouds
118,Kokkola,FI,63.84,23.13,46.99,87,75,16.11,broken clouds
119,Evensk,RU,61.95,159.23,20.59,92,79,5.82,broken clouds
120,Dzhubga,RU,44.32,38.7,60.91,65,88,19.75,overcast clouds
121,Burnie,AU,-41.07,145.92,51.01,89,100,1.99,overcast clouds
122,Verkhnevilyuysk,RU,63.45,120.32,0.45,92,0,6.4,clear sky
123,Madera,US,37.17,-119.83,80.01,13,99,2.68,overcast clouds
124,Havelock,US,34.88,-76.9,75.2,69,40,14.99,scattered clouds
125,Dali,CN,25.7,100.18,59.02,86,91,3.09,overcast clouds
126,La Oroya,PE,-11.52,-75.9,55.15,52,91,4.09,light rain
127,Finnsnes,NO,69.23,17.98,41.0,100,0,9.17,clear sky
128,Clyde River,CA,70.47,-68.59,10.4,85,90,10.29,mist
129,Ola,RU,59.58,151.28,29.62,93,100,7.96,overcast clouds
130,Carnarvon,AU,-24.87,113.63,68.0,64,40,19.46,scattered clouds
131,Los Llanos De Aridane,ES,28.66,-17.92,80.6,26,0,8.05,clear sky
132,Kosonsoy,UZ,41.26,71.55,48.2,36,63,4.7,mist
133,Saint George,US,37.1,-113.58,60.8,17,1,3.53,clear sky
134,Irtyshskiy,RU,58.33,68.13,27.18,98,44,7.2,scattered clouds
135,Bonavista,CA,48.65,-53.11,41.0,48,0,10.29,clear sky
136,Opotiki,NZ,-38.08,177.28,55.0,84,97,1.05,overcast clouds
137,Narsaq,GL,60.92,-46.05,26.6,68,33,4.7,scattered clouds
138,Vardo,NO,70.37,31.11,39.2,86,75,28.86,broken clouds
139,San Patricio,US,28.02,-97.52,82.0,44,20,9.17,few clouds
140,Jayanca,PE,-6.39,-79.82,82.0,64,0,17.22,clear sky
141,Esperance,AU,-33.87,121.9,62.6,100,90,8.05,moderate rain
142,Puerto Quijarro,BO,-17.78,-57.77,94.41,28,17,8.08,few clouds
143,Fairbanks,US,64.84,-147.72,-0.99,75,1,0.16,clear sky
144,Thinadhoo,MV,0.53,72.93,83.53,74,100,9.66,overcast clouds
145,Poddorye,RU,57.47,31.12,35.65,88,0,4.76,clear sky
146,Darnah,LY,32.77,22.64,69.78,63,53,12.75,broken clouds
147,Caravelas,BR,-17.71,-39.25,69.91,93,100,12.41,light rain
148,Ordynskoye,RU,54.37,81.9,35.02,87,100,12.57,overcast clouds
149,Muros,ES,42.78,-9.06,64.99,91,100,10.0,light rain
150,Dingle,PH,11.0,122.67,75.58,87,100,5.3,overcast clouds
151,Antanifotsy,MG,-19.65,47.32,57.47,86,28,1.52,scattered clouds
152,Barrow,US,71.29,-156.79,28.4,74,75,17.22,snow
153,Hilo,US,19.73,-155.09,75.2,69,90,4.7,overcast clouds
154,Kashi,CN,39.45,75.98,42.8,38,0,11.18,clear sky
155,Aklavik,CA,68.22,-135.01,15.8,72,90,5.82,overcast clouds
156,Zorritos,PE,-3.68,-80.68,80.6,69,75,12.26,broken clouds
157,Naze,JP,28.37,129.48,71.6,94,75,3.36,broken clouds
158,Constitucion,CL,-35.33,-72.42,60.46,70,62,8.21,broken clouds
159,San Andres,CO,12.58,-81.7,78.8,100,75,11.41,broken clouds
160,Banepa,NP,27.63,85.52,59.0,93,20,4.7,few clouds
161,Tombouctou,ML,20.0,-3.0,88.52,13,100,3.76,overcast clouds
162,Mykhaylivka,UA,47.27,35.22,51.8,100,75,6.71,light intensity shower rain
163,Rio Gallegos,AR,-51.62,-69.22,66.2,32,0,13.87,clear sky
164,Show Low,US,34.25,-110.03,68.0,24,82,12.24,broken clouds
165,Sibu,MY,2.3,111.82,75.2,94,40,2.24,light rain
166,Fukue,JP,32.69,128.84,68.25,73,100,15.1,light rain
167,Orebro,SE,59.27,15.21,52.0,87,100,10.29,moderate rain
168,Pleasanton,US,37.66,-121.87,73.99,42,1,3.36,smoke
169,Namibe,AO,-15.2,12.15,73.33,71,19,8.84,few clouds
170,Doume,CM,4.23,13.45,71.8,81,100,0.96,overcast clouds
171,Pointe Michel,DM,15.25,-61.38,82.4,83,75,2.24,light intensity shower rain
172,Karratha,AU,-20.74,116.85,73.44,71,100,13.85,overcast clouds
173,Cabinda,AO,-5.55,12.2,78.46,85,100,8.23,overcast clouds
174,Kodiak,US,57.79,-152.41,28.4,58,20,8.05,few clouds
175,Ocos,GT,14.51,-92.19,89.6,70,40,5.82,scattered clouds
176,Sinnamary,GF,5.38,-52.95,85.35,67,100,11.41,light rain
177,Seminole,US,28.71,-81.21,84.2,62,90,4.7,overcast clouds
178,Batagay-Alyta,RU,67.8,130.41,-9.17,86,13,1.92,few clouds
179,Henties Bay,NA,-22.12,14.28,55.99,89,87,1.19,overcast clouds
180,Buta,CD,2.79,24.73,72.05,95,100,1.21,overcast clouds
181,Khandagayty,RU,50.73,92.05,25.99,94,100,1.36,overcast clouds
182,Kieta,PG,-6.22,155.63,79.02,73,10,1.72,clear sky
183,Komsomolskiy,UZ,40.43,71.72,48.2,36,100,4.7,mist
184,Mar Del Plata,AR,-38.0,-57.56,68.0,49,20,12.75,few clouds
185,Malakal,SS,9.53,31.66,78.96,67,12,3.4,light rain
186,Cayenne,GF,4.93,-52.33,82.4,69,82,14.99,broken clouds
187,Salalah,OM,17.02,54.09,80.6,65,0,3.36,clear sky
188,Bubaque,GW,11.28,-15.83,84.06,74,0,14.09,clear sky
189,Eureka,US,40.8,-124.16,60.8,81,1,3.36,clear sky
190,Lagoa,PT,39.05,-27.98,65.16,76,100,16.64,light rain
191,Khatanga,RU,71.97,102.5,1.63,92,100,4.88,overcast clouds
192,Hudson Bay,CA,52.85,-102.38,42.84,62,77,14.94,broken clouds
193,Biryusinsk,RU,55.96,97.82,28.18,99,98,4.72,overcast clouds
194,Kitimat,CA,54.05,-128.65,50.0,95,100,3.0,light rain
195,Ugoofaaru,MV,5.67,73.0,82.6,73,24,6.96,few clouds
196,Vadso,NO,70.07,29.75,39.2,86,75,16.11,broken clouds
197,Alangayam,IN,12.6,78.75,68.95,88,38,1.39,scattered clouds
198,Kostomuksha,RU,64.57,30.58,35.85,92,95,10.92,overcast clouds
199,Saint-Augustin,CA,51.23,-58.65,38.32,73,100,22.55,overcast clouds
200,Portland,US,45.52,-122.68,59.0,67,0,3.83,clear sky
201,Provideniya,RU,64.38,-173.3,21.88,86,0,2.06,clear sky
202,Flin Flon,CA,54.77,-101.86,28.4,79,75,11.41,broken clouds
203,Kihei,US,20.79,-156.47,78.8,69,20,2.42,few clouds
204,Charlottesville,US,38.03,-78.48,57.99,87,90,8.05,overcast clouds
205,Hervey Bay,AU,-25.3,152.85,71.01,93,0,3.0,clear sky
206,Neiafu,TO,-18.65,-173.98,75.2,94,75,11.41,broken clouds
207,San Jose,US,37.34,-121.89,79.0,58,40,3.36,haze
208,Bay Roberts,CA,47.6,-53.26,42.01,55,100,1.01,overcast clouds
209,Mayo,US,38.89,-76.51,55.0,100,90,8.05,mist
210,Torbay,CA,47.67,-52.73,43.0,48,40,17.22,scattered clouds
211,Roquetas De Mar,ES,36.76,-2.61,63.0,93,0,2.24,clear sky
212,Tawang,IN,27.58,91.87,45.86,58,0,4.45,clear sky
213,Qingdao,CN,36.1,120.37,53.01,81,0,3.91,light rain
214,Bandarbeyla,SO,9.49,50.81,77.54,77,0,20.8,clear sky
215,Bamiantong,CN,44.93,130.53,32.05,90,0,9.31,clear sky
216,Nabire,ID,-3.37,135.48,76.69,87,96,4.16,overcast clouds
217,Bosaso,SO,11.28,49.18,79.27,71,9,8.68,clear sky
218,Upernavik,GL,72.79,-56.15,17.19,95,100,3.22,overcast clouds
219,Zhangjiakou,CN,40.81,114.88,35.56,68,0,13.13,clear sky
220,Zwedru,LR,6.07,-8.13,74.53,93,0,3.42,light rain
221,Bambanglipuro,ID,-7.95,110.28,76.44,86,100,5.75,overcast clouds
222,Talnakh,RU,69.49,88.4,21.2,92,75,20.13,light snow
223,Port Macquarie,AU,-31.43,152.92,64.0,74,75,4.0,light rain
224,Ino,JP,33.55,133.43,63.73,86,100,2.28,light rain
225,Cairns,AU,-16.92,145.77,68.0,88,1,5.08,clear sky
226,Dicabisagan,PH,17.08,122.42,79.21,85,100,8.34,moderate rain
227,Ahipara,NZ,-35.17,173.17,62.87,89,100,6.53,overcast clouds
228,Merauke,ID,-8.47,140.33,79.25,82,53,10.31,broken clouds
229,Longhua,CN,23.61,114.19,66.97,76,94,2.75,overcast clouds
230,Takaka,NZ,-40.85,172.8,55.0,76,100,1.21,light rain
231,Boden,SE,65.83,21.69,44.6,93,75,19.46,broken clouds
232,Luderitz,NA,-26.65,15.16,67.28,47,81,13.06,broken clouds
233,Novoagansk,RU,61.94,76.66,26.89,98,89,11.9,light snow
234,Okato,NZ,-39.2,173.88,52.0,97,100,2.1,moderate rain
235,Rantauprapat,ID,2.1,99.83,73.78,87,100,1.66,light rain
236,Victoria,HK,22.29,114.16,75.0,75,29,1.01,scattered clouds
237,Topeka,US,39.05,-95.68,54.0,27,1,6.93,clear sky
238,Strezhevoy,RU,60.73,77.59,30.2,92,75,6.71,light shower snow
239,Haines Junction,CA,60.75,-137.51,10.4,72,100,5.82,overcast clouds
240,Qaqortoq,GL,60.72,-46.03,26.6,68,29,4.7,scattered clouds
241,Poum,NC,-20.23,164.02,76.57,78,0,17.9,clear sky
242,Ponta Delgada,PT,37.73,-25.67,69.8,94,40,16.11,scattered clouds
243,Turka,UA,49.15,23.03,37.0,84,0,4.16,clear sky
244,Loviisa,FI,60.46,26.23,46.0,93,20,1.99,few clouds
245,Belene,BG,43.65,25.12,44.6,75,5,4.7,clear sky
246,Martapura,ID,-3.42,114.85,75.24,90,100,0.96,overcast clouds
247,Bure,ET,10.7,37.07,55.78,86,59,5.41,broken clouds
248,Soyo,AO,-6.13,12.37,78.6,85,100,8.7,overcast clouds
249,Parabel,RU,58.7,81.48,34.25,97,100,10.27,overcast clouds
250,Rohru,IN,31.22,77.75,48.92,59,0,3.56,light rain
251,Alice Springs,AU,-23.7,133.88,71.6,21,0,8.05,clear sky
252,Utinga,BR,-5.82,-35.4,84.2,66,40,16.11,scattered clouds
253,Lavrentiya,RU,65.58,-171.0,21.78,89,0,4.03,clear sky
254,Georgetown,MY,5.41,100.34,80.6,83,20,3.36,few clouds
255,Wenling,CN,28.37,121.36,63.28,76,60,8.14,broken clouds
256,Miles City,US,46.41,-105.84,44.6,56,1,6.93,clear sky
257,Puerto Narino,CO,-3.77,-70.38,84.2,74,75,3.36,broken clouds
258,Tripoli,LY,32.88,13.19,70.47,63,0,8.14,clear sky
259,Sarangani,PH,5.4,125.46,82.81,77,100,10.18,light rain
260,Eydhafushi,MV,5.1,73.07,82.58,70,98,5.7,overcast clouds
261,Maceio,BR,-9.67,-35.74,86.0,62,0,13.87,clear sky
262,Pisco,PE,-13.7,-76.22,64.99,82,90,8.05,overcast clouds
263,Chokurdakh,RU,70.63,147.92,0.54,94,100,10.51,overcast clouds
264,Umm Lajj,SA,25.02,37.27,80.01,68,2,7.38,clear sky
265,Port Elizabeth,ZA,-33.92,25.57,66.2,77,0,14.99,clear sky
266,Margate,GB,51.38,1.39,62.01,94,79,5.99,light rain
267,Pitimbu,BR,-7.47,-34.81,86.0,66,40,11.41,scattered clouds
268,Fairmont,US,39.49,-80.14,53.01,74,83,5.01,light rain
269,Yenagoa,NG,4.92,6.26,77.88,91,97,4.94,light rain
270,Berlevag,NO,70.86,29.09,37.4,86,0,19.46,light rain
271,Mugur-Aksy,RU,50.35,90.5,21.25,82,99,4.25,overcast clouds
272,Guira De Melena,CU,22.79,-82.51,86.0,70,40,10.29,scattered clouds
273,Carutapera,BR,-1.2,-46.02,85.44,62,0,8.88,clear sky
274,Srednekolymsk,RU,67.45,153.68,-4.02,92,83,7.99,broken clouds
275,Pevek,RU,69.7,170.31,15.4,89,100,13.87,overcast clouds
276,Whitewater,US,42.83,-88.73,37.0,49,5,13.0,clear sky
277,Jalu,LY,29.03,21.55,66.38,50,0,5.28,clear sky
278,Sept-Iles,CA,50.2,-66.38,39.0,64,100,10.29,overcast clouds
279,Paso Del Toro,MX,19.03,-96.12,84.99,43,86,20.0,overcast clouds
280,Cedar City,US,37.68,-113.06,51.8,18,1,3.36,clear sky
281,Azul,AR,-36.78,-59.86,73.0,39,0,7.0,clear sky
282,Urumqi,CN,43.8,87.6,39.2,55,0,2.24,clear sky
283,Ornskoldsvik,SE,63.29,18.72,44.6,100,90,24.16,mist
284,Palana,RU,59.12,159.97,29.77,93,93,6.55,overcast clouds
285,Praia Da Vitoria,PT,38.73,-27.07,64.99,93,75,21.32,light intensity drizzle rain
286,Acapulco,MX,16.86,-99.89,86.65,61,41,7.16,scattered clouds
287,Pericos,MX,25.05,-107.7,91.99,40,8,4.0,clear sky
288,Sinjar,IQ,36.32,41.88,71.73,21,97,8.81,overcast clouds
289,Yamethin,MM,20.43,96.15,73.83,88,100,2.93,overcast clouds
290,Darhan,MN,49.49,105.92,19.85,77,0,4.23,clear sky
291,Nemuro,JP,43.32,145.57,57.07,84,100,23.4,moderate rain
292,Panlaitan,PH,12.12,119.85,79.5,83,97,6.02,light rain
293,Isaka,TZ,-3.9,32.93,81.81,29,71,7.72,broken clouds
294,Punta De Bombon,PE,-17.17,-71.79,66.65,71,38,7.11,scattered clouds
295,Sembakung,ID,3.82,117.25,73.06,98,100,2.82,overcast clouds
296,Touros,BR,-5.2,-35.46,84.2,66,40,16.11,scattered clouds
297,Mareeba,AU,-17.0,145.43,68.0,88,0,1.97,clear sky
298,Formosa,AR,-26.18,-58.18,84.2,35,20,10.29,few clouds
299,Anahuac,MX,27.23,-100.15,79.79,32,0,8.41,clear sky
300,Tokonou,GN,9.65,-9.78,75.63,57,0,2.46,clear sky
301,Sitka,US,57.05,-135.33,46.4,93,90,5.88,moderate rain
302,Kavaratti,IN,10.57,72.64,82.06,71,0,4.5,clear sky
303,Pushkinskiye Gory,RU,57.02,28.91,36.0,90,0,4.34,clear sky
304,Kahului,US,20.89,-156.47,78.8,69,20,3.04,few clouds
305,Novyye Gorki,RU,56.73,41.06,38.41,83,100,8.5,moderate rain
306,Oyem,GA,1.6,11.58,69.19,97,100,3.04,moderate rain
307,Yenangyaung,MM,20.47,94.88,76.32,86,100,1.14,moderate rain
308,Atambua,ID,-9.11,124.89,75.29,79,69,2.84,broken clouds
309,Zhigansk,RU,66.77,123.37,-3.05,92,87,16.31,overcast clouds
310,Laguna,US,38.42,-121.42,68.0,37,1,3.96,clear sky
311,Promyshlennaya,RU,54.92,85.64,32.0,97,0,8.95,clear sky
312,Severo-Kurilsk,RU,50.68,156.12,40.37,76,1,3.4,clear sky
313,Maxixe,MZ,-23.86,35.35,77.0,69,20,2.24,few clouds
314,Jiwani,PK,25.05,61.74,73.2,60,0,12.15,clear sky
315,Troitsko-Pechorsk,RU,62.71,56.2,23.11,98,48,4.74,scattered clouds
316,Gweta,BW,-20.18,25.23,82.65,32,6,8.43,clear sky
317,Antofagasta,CL,-23.65,-70.4,68.0,67,20,16.11,few clouds
318,San Cristobal,VE,7.77,-72.22,84.2,62,40,4.7,scattered clouds
319,Kapuskasing,CA,49.42,-82.43,30.2,92,100,19.46,light snow
320,Llallagua,BO,-18.42,-66.63,60.62,30,9,5.39,clear sky
321,Mount Isa,AU,-20.73,139.5,73.4,18,0,16.49,clear sky
322,Rundu,NA,-17.93,19.77,82.22,24,63,3.2,broken clouds
323,Quang Ngai,VN,15.12,108.8,72.75,89,99,6.58,overcast clouds
324,Mucurapo,TT,10.67,-61.53,84.0,78,75,9.17,shower rain
325,Puka,EE,58.06,26.24,44.6,75,0,8.05,clear sky
326,Millinocket,US,45.66,-68.71,39.2,100,90,9.84,mist
327,Progreso,MX,21.28,-89.67,82.99,74,90,11.41,overcast clouds
328,Laurel,US,39.1,-76.85,54.0,93,90,4.7,overcast clouds
329,Lazaro Cardenas,MX,17.96,-102.2,88.09,55,0,5.66,clear sky
330,Boende,CD,-0.22,20.87,71.87,95,84,1.99,broken clouds
331,Harlingen,US,26.19,-97.7,82.99,44,20,13.87,few clouds
332,Banjar,ID,-8.19,114.97,77.94,75,85,3.22,overcast clouds
333,Kandla,IN,23.03,70.22,83.88,19,0,7.87,clear sky
334,Omaruru,NA,-21.43,15.93,78.67,18,0,8.19,clear sky
335,Shingu,JP,33.73,135.98,58.57,86,0,5.41,clear sky
336,Rock Sound,BS,24.9,-76.2,82.11,79,49,10.47,scattered clouds
337,Kamogawa,JP,35.1,140.1,59.0,67,40,1.12,scattered clouds
338,Vanavara,RU,60.34,102.28,10.87,92,100,7.4,overcast clouds
339,Zhezkazgan,KZ,47.8,67.71,39.45,58,0,3.2,clear sky
340,Mao,ES,39.89,4.27,60.8,87,20,4.7,few clouds
341,Salvador,SV,13.83,-88.92,89.6,61,20,9.17,few clouds
342,Yagodnoye,RU,62.55,149.67,6.08,91,100,1.86,overcast clouds
343,Poronaysk,RU,49.22,143.12,47.95,94,100,16.58,moderate rain
344,Bilibino,RU,68.05,166.44,5.54,83,99,0.96,overcast clouds
345,Kysyl-Syr,RU,63.9,122.76,-2.42,91,36,6.35,scattered clouds
346,Salto,UY,-31.38,-57.97,75.2,41,0,11.41,clear sky
347,Lompoc,US,34.64,-120.46,75.2,28,1,3.36,clear sky
348,Kruisfontein,ZA,-34.0,24.73,66.0,74,19,5.99,few clouds
349,Russkaya Polyana,UA,49.42,31.92,46.42,90,100,9.1,overcast clouds
350,Trairi,BR,-3.28,-39.27,84.31,67,2,14.54,clear sky
351,Zatyshshya,UA,47.33,29.87,47.1,83,100,12.03,overcast clouds
352,Port-Cartier,CA,50.03,-66.87,39.0,64,99,10.29,overcast clouds
353,Chumikan,RU,54.72,135.31,19.94,97,100,8.12,snow
354,Contamana,PE,-7.33,-75.02,92.55,36,100,4.81,overcast clouds
355,La Libertad,EC,-2.23,-80.9,78.8,69,75,11.41,broken clouds
356,Martina Franca,IT,40.7,17.33,63.0,87,0,2.24,clear sky
357,Mosetse,BW,-20.75,26.65,74.14,53,22,16.33,few clouds
358,Nikolskoye,RU,59.7,30.79,34.0,100,90,8.95,fog
359,Katima Mulilo,NA,-17.5,24.27,86.0,23,0,3.36,clear sky
360,Quatre Cocos,MU,-20.21,57.76,71.6,64,40,10.29,scattered clouds
361,Aswan,EG,24.09,32.91,75.31,35,0,9.86,clear sky
362,Bauchi,NG,10.5,10.0,76.98,31,16,2.95,few clouds
363,Codrington,AU,-38.27,141.97,48.0,82,56,8.12,broken clouds
364,Moussoro,TD,13.64,16.49,86.32,17,15,14.41,few clouds
365,Leningradskiy,RU,69.38,178.42,14.02,82,85,5.84,overcast clouds
